PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,CH4,CH4_log10
Perm16,High Temperature Polymers,*C1=CC2C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(*)C=C3C2=O)C=C1,1.1488317112,0.0067174805045287,10,0.5009245422339081,0.2518786012523454,0.03,-1.5228787452803376
Perm17,Polyimides_NEW,*C1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(*)C=C1,0.8927828537199999,0.0078271415074051,10,0.5610661462833513,0.3488166942341066,0.84,-0.07572071393811836
Perm18,High Temperature Polymers,*C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(*)C=C1,0.95887945161,0.0081073092155579,10,0.5324351027333243,0.3362965968751028,2.88,0.45939248775923086
Perm19,Polyimides_NEW,*C1=CC=C(OC2=CC=C(C=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.0500354873,0.007497211714077,10,0.559474567235119,0.2362914052097098,0.14,-0.8538719643217619
Perm20,Polyimides_NEW,*C1=CC=C(OC2=CC=C(C=C2)C2(C3C=CC=CC3C3C=CC=CC23)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.0484793634,0.0077740501297908,10,0.5565801429977307,0.2413683677852557,0.45,-0.3467874862246563
Perm21,Polysulfones,*C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(OC3=CC=C(C=C3)S(*)(=O)=O)C=C2)C=C1,1.2697049749,0.0076413258736483,10,0.4854115154855292,0.1987717590885577,0.13,-0.8860566476931632
Perm22,Polyimides_NEW,*C1=CC=C(OC2=CC=C(OC3=CC=C(*)C=C3)C3=C2C2C4=C(C=CC=C4)C3C3=C2C=CC=C3)C=C1,1.039172355,0.0075517353538288,10,0.5370948903907736,0.2744255892623987,0.21,-0.6777807052660807
Perm25,High Temperature Polymers,*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=CC(*)=C2)C=C1,1.1316929946,0.0069132745793335,10,0.5179765516413217,0.2379524346825863,0.0018,-2.744727494896694
Perm27,High Temperature Polymers,*C1=NN=C(N1C1=CC=CC=C1)C1=CC(*)=CC=C1,1.0351984988000005,0.0081183083225533,10,0.5320345831828809,0.284010177633217,0.0491,-1.3089185078770316
Perm28,High Temperature Polymers,*C1=NN=C(N1C1=CC=CC=C1)C1=CC=CC(=C1)C1=NN=C(N1C1=CC=CC=C1)C1=CC=C(*)C=C1,1.0866257948,0.0075173208283649,10,0.5305048934903408,0.2506016080054998,0.09,-1.0457574905606752
