PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,H2,H2_log10
Perm240,Polysulfones,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1493792687,0.0074688446735735,10,0.5311433550176778,0.2063692907453921,14.0,1.146128035678238
Perm246,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(C=C3C2=O)C(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1,1.166281977,0.0075490221001849,10,0.5176328697000124,0.2151823473759119,8.9,0.9493900066449128
Perm248,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C2=O)C=C1,1.1604840739000002,0.0075406508386265,10,0.5171810119285087,0.2197655740335234,8.0,0.9030899869919435
Perm249,Polysulfones,CC(C)(C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1)C1=CC=CC(O*)=C1,1.1560508850000002,0.0079018985409853,10,0.5311150705964744,0.2018051383801405,8.0,0.9030899869919435
Perm258,Polymers with High Free Volume,CC(C)C12C3=CC4=C(C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C2C=CC=CC2=C(C=C1C)C1=CC(C)=C(*)C2=C1C=CC=C2)C(=O)N(*)C4=O,0.68188367212,0.0055340568229808,10,0.5313181736932308,0.5290136564553581,2173.5,3.3371596445268557
Perm259,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)C1=C(O*)C=CC(=C1)C(C1C=CC=CC1C(O)=O)C1=CC(C(C)C)=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.01405140663,0.0087863909674712,10,0.5657706260983395,0.2541633510075559,49.7,1.6963563887333322
Perm260,Polysulfones,CC(C)C1=CC(=C(C)C=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC(C(C)C)=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1C,0.99730941624,0.0113423329326394,10,0.5377449645353973,0.3028124483331644,30.6,1.4857214264815801
Perm261,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)C1=CC(=C(C)C=C1O*)C1(OC(=O)C2C=CC=CC12)C1=C(C)C=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C(=C1)C(C)C,0.98488316308,0.0080725154768097,10,0.5531768691256793,0.2917410400106526,42.5,1.6283889300503116
Perm262,Polysulfones,CC(C)C1=CC(C(C2=CC(C(C)C)=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C=C2C)C2=C(C=CC=C2)C(O)=O)=C(C)C=C1O*,1.02504233226,0.0079373267373547,10,0.5498902804663414,0.2672409397507788,49.6,1.6954816764901974
Perm267,Vinyl and Vinylidene Polymers,CC(C)CC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.8642089945299999,0.0098542789170926,10,0.6069854871564943,0.3180689871852391,169.0,2.2278867046136734
Perm268,Vinyl and Vinylidene Polymers,CC(C)CC(C)OC(=O)C(*)C(*)C(=O)OC(C)C,0.92408678194,0.0104122143875731,10,0.6011160229357561,0.2778716174305436,156.0,2.1931245983544616
Perm271,Vinyl and Vinylidene Polymers,CC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.89958245388,0.0093598092301762,10,0.5847381088707425,0.3161738142883789,133.0,2.123851640967086
Perm272,Vinyl and Vinylidene Polymers,CC(C)OC(=O)C(*)C(*)C(=O)OC1CCCCC1,0.93563025513,0.0109660287331742,10,0.5779215838049457,0.2970628054292784,41.0,1.6127838567197355
Perm279,Various Polymers,CC(C*)C(=O)OCCOC(=O)C(C)C*,1.02834669028,0.0080779217961411,10,0.5784367331275768,0.2267164499374448,15.0,1.1760912590556813
Perm280,Thermally Rearranged Polymers,CC(C*)O*,0.9598891319,0.0088443996365539,10,0.6259876893908378,0.2188575863257043,42.0,1.6232492903979006
Perm286,Substituted Polyacetylenes,CC1(C)C2=CC(=CC=C2C2=C1C=C(Br)C=C2)C(*)=C(*)C1=CC=CC=C1,0.85728922148,0.0115355539229361,10,0.4899991295949387,0.4539077359627805,3700.0,3.568201724066995
Perm289,Substituted Polyacetylenes,CC1(C)C2=CC(=CC=C2C2=C1C=CC=C2)C(*)=C(*)C1=CC=CC=C1,0.7648024322599999,0.0100121478800371,10,0.5799100823102201,0.423428366124161,8100.0,3.90848501887865
Perm290,Substituted Polyacetylenes,CC1(C)C2=CC=C(C=C2C(C)(C)C1(C)C)C(*)=C(*)C1=CC=CC=C1,0.80246585037,0.008808456620982,10,0.6208076635986054,0.3523699654083719,23650.0,4.37383114507383
Perm291,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC(F)=C(F)C=C1,0.8283197494,0.0106402601475036,10,0.5615272702945875,0.3953386338448176,36800.0,4.565847818673518
Perm292,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC(F)=CC(F)=C1,0.8530128270299999,0.0110816086659901,10,0.5606460860510447,0.3782902063265819,28500.0,4.45484486000851
Perm293,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC(F)=CC=C1,0.79323915645,0.0100322244867773,10,0.5847127207550954,0.3970378670094368,27000.0,4.431363764158987
Perm294,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=C(Br)C=C1,0.95583915803,0.0126763886787602,10,0.508939172584625,0.3675968127246953,20700.0,4.315970345456917
Perm295,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=C(Cl)C=C1,0.8293921398299999,0.0090897163644667,10,0.5677690970564043,0.3878258057619544,20600.0,4.313867220369153
Perm296,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=C(F)C=C1,0.85833386505,0.0097050761684456,10,0.5842706459576323,0.3480509336859029,33300.0,4.52244423350632
Perm297,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=CC=C1,0.77685996407,0.0095685659373342,10,0.6120051235597249,0.381925038210957,24800.0,4.394451680826216
Perm320,Polyimides_NEW,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3C(C2=O)C2(Br)C4C(C(=O)N(*)C4=O)C3(Br)C(Br)=C2Br)C2=C1C=C(*)C(O)=C2,1.2000342327,0.0099696080729017,10,0.3862751392537288,0.3973935925509356,274.0,2.437750562820388
Perm321,Polyimides_NEW,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3C=CC(=CC3C2=O)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C2=C1C=C(*)C(O)=C2,1.0969323022000002,0.0093715619747671,10,0.4822216656955001,0.312346121501291,181.0,2.2576785748691846
Perm328,Polymers with High Free Volume,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=CC3=C(C=C2)C(C)(C)CC32CC(C)(C)C3=C2C=C(*)C=C3)C2=CC3=C(C=C12)C(=O)N(*)C3=O,0.9501668299,0.0080504809380896,10,0.54962510576198,0.3210937923120934,624.0,2.795184589682424
Perm344,Substituted Polyacetylenes,CC1(C)CCC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=CC=C1,0.8078241362199999,0.0095191175791261,10,0.6155962800210725,0.3535184068812514,7700.0,3.886490725172482
Perm354,Polyimides_NEW,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C)C(=CC=C2C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C1=O,1.1161691132,0.0077264039495069,10,0.4662351306324187,0.3234835720091251,322.0,2.507855871695831
Perm356,Polyimides and Polypyrrolones,CC1=C(C)C(N2C(=O)C3=C(C=C(C=C3)C(=O)C3=CC=C4C(=O)N(*)C(=O)C4=C3)C2=O)=C(C)C(C)=C1*,1.01440574932,0.0068921515696815,10,0.5120996461921891,0.3246801270812771,108.0,2.03342375548695
