PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,N2,N2_log10
Perm260,Polysulfones,CC(C)C1=CC(=C(C)C=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC(C(C)C)=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1C,0.99730941624,0.0113423329326394,10,0.5377449645353973,0.3028124483331644,0.699,-0.15552282425431863
Perm261,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)C1=CC(=C(C)C=C1O*)C1(OC(=O)C2C=CC=CC12)C1=C(C)C=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C(=C1)C(C)C,0.98488316308,0.0080725154768097,10,0.5531768691256793,0.2917410400106526,0.933,-0.030118356253500032
Perm262,Polysulfones,CC(C)C1=CC(C(C2=CC(C(C)C)=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C=C2C)C2=C(C=CC=C2)C(O)=O)=C(C)C=C1O*,1.02504233226,0.0079373267373547,10,0.5498902804663414,0.2672409397507788,0.757,-0.12090412049992724
Perm264,Substituted Polyacetylenes,CC(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,0.7735023134000001,0.012422168644702,10,0.6092638695421577,0.3873528836695367,150.0,2.1760912590556813
Perm267,Vinyl and Vinylidene Polymers,CC(C)CC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.8642089945299999,0.0098542789170926,10,0.6069854871564943,0.3180689871852391,16.0,1.2041199826559248
Perm268,Vinyl and Vinylidene Polymers,CC(C)CC(C)OC(=O)C(*)C(*)C(=O)OC(C)C,0.92408678194,0.0104122143875731,10,0.6011160229357561,0.2778716174305436,14.0,1.146128035678238
Perm271,Vinyl and Vinylidene Polymers,CC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.89958245388,0.0093598092301762,10,0.5847381088707425,0.3161738142883789,9.0,0.9542425094393249
Perm272,Vinyl and Vinylidene Polymers,CC(C)OC(=O)C(*)C(*)C(=O)OC1CCCCC1,0.93563025513,0.0109660287331742,10,0.5779215838049457,0.2970628054292784,3.0,0.47712125471966244
Perm278,Polyesters,CC(C*)C(=O)OC(C)C(*)=O,1.0599603892,0.0075760183341213,10,0.5645070972847561,0.2221382886926538,0.04,-1.3979400086720375
Perm279,Various Polymers,CC(C*)C(=O)OCCOC(=O)C(C)C*,1.02834669028,0.0080779217961411,10,0.5784367331275768,0.2267164499374448,1.6,0.2041199826559248
Perm280,Thermally Rearranged Polymers,CC(C*)O*,0.9598891319,0.0088443996365539,10,0.6259876893908378,0.2188575863257043,11.0,1.0413926851582251
Perm281,Polysulfones,CC(C1=CC=CC=C1)(C1=CC=C(*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,1.1301793363,0.0077170243465014,10,0.5324165837069711,0.2177559124282246,0.278,-0.5559552040819237
Perm282,Polyarylates,CC(C1=CC=CC=C1)(C1=CC=C(O*)C=C1)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,1.1225762168000002,0.0079276048640884,10,0.543607552227175,0.206686817775982,0.54,-0.26760624017703144
Perm283,Polysulfones,CC(C1=CC=CC=C1)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1339089918,0.0075725202000121,10,0.5322603655317661,0.2154047412082081,0.278,-0.5559552040819237
Perm284,Polycarbonates,CC(C1=CC=CC=C1)(C1=CC=C(*)C=C1)C1=CC=C(OC(=O)O*)C=C1,1.0865896913000002,0.0078698807407118,10,0.5480220783933317,0.2258823167169067,0.361,-0.4424927980943421
Perm286,Substituted Polyacetylenes,CC1(C)C2=CC(=CC=C2C2=C1C=C(Br)C=C2)C(*)=C(*)C1=CC=CC=C1,0.85728922148,0.0115355539229361,10,0.4899991295949387,0.4539077359627805,1100.0,3.041392685158225
Perm289,Substituted Polyacetylenes,CC1(C)C2=CC(=CC=C2C2=C1C=CC=C2)C(*)=C(*)C1=CC=CC=C1,0.7648024322599999,0.0100121478800371,10,0.5799100823102201,0.423428366124161,3300.0,3.5185139398778875
Perm290,Substituted Polyacetylenes,CC1(C)C2=CC=C(C=C2C(C)(C)C1(C)C)C(*)=C(*)C1=CC=CC=C1,0.80246585037,0.008808456620982,10,0.6208076635986054,0.3523699654083719,10200.0,4.008600171761918
Perm291,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC(F)=C(F)C=C1,0.8283197494,0.0106402601475036,10,0.5615272702945875,0.3953386338448176,16600.0,4.220108088040055
Perm292,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC(F)=CC(F)=C1,0.8530128270299999,0.0110816086659901,10,0.5606460860510447,0.3782902063265819,13100.0,4.117271295655764
Perm293,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC(F)=CC=C1,0.79323915645,0.0100322244867773,10,0.5847127207550954,0.3970378670094368,12000.0,4.079181246047625
Perm294,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=C(Br)C=C1,0.95583915803,0.0126763886787602,10,0.508939172584625,0.3675968127246953,9200.0,3.963787827345555
Perm295,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=C(Cl)C=C1,0.8293921398299999,0.0090897163644667,10,0.5677690970564043,0.3878258057619544,9200.0,3.963787827345555
Perm296,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=C(F)C=C1,0.85833386505,0.0097050761684456,10,0.5842706459576323,0.3480509336859029,15600.0,4.193124598354461
Perm297,Substituted Polyacetylenes,CC1(C)CC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=CC=C1,0.77685996407,0.0095685659373342,10,0.6120051235597249,0.381925038210957,11600.0,4.064457989226918
