PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,O2,O2_log10
Perm100,Polyamides and poly(amide-imides),*NC(=O)C1=CC(=CC=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1,1.0664932661,0.0074932658742542,10,0.55072543319966,0.2364515442293243,1.2,0.07918124604762482
Perm101,Polyamides and poly(amide-imides),*NC(=O)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1,1.0500773235,0.0079635962221603,10,0.5506216802898863,0.2483460576101603,3.0,0.47712125471966244
Perm102,Conjugated Polymers (excl. subst. acetylenes/propynes),*NC1=CC=C(*)C=C1,1.1636501549,0.0062018520710177,10,0.561859333172358,0.1500499898985673,0.135,-0.8696662315049939
Perm111,Polycarbonates,*OC(=O)OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(*)C=C1,1.0762658763,0.0076243037781078,10,0.5319640682784622,0.2557047936624183,3.18,0.5024271199844327
Perm112,Polycarbonates,*OC(=O)OC1=CC=C(C=C1)C1(CC2CCC1C2)C1=CC=C(*)C=C1,1.0820721594000002,0.0075358100197367,10,0.5476884090265732,0.2295701067361448,2.4,0.38021124171160603
Perm113,Polycarbonates,*OC(=O)OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(*)C=C1,1.0662909702,0.0070660897461051,10,0.5561146337263275,0.2291259839599974,0.6,-0.2218487496163564
Perm114,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=C(C=C(*)C=C1C1=CC=CC=C1)C1=CC=CC=C1,1.00743737102,0.0082580774338076,10,0.5547779653902664,0.2734247285616272,7.7,0.8864907251724818
Perm115,Polysulfones,*OC1=C2C=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C2=CC=C1,1.2065012648000002,0.0073355106570804,10,0.502100876767859,0.2124790542591058,0.42,-0.37675070960209955
Perm117,High Temperature Polymers,*OC1=CC2=C(C=C1)N=C(C1=CC=CC=C1)C(=N2)C1=CC=C(C=C1)C1=NC2=C(C=CC(*)=C2)N=C1C1=CC=CC=C1,1.069858881,0.0072551353658629,10,0.5278105162122354,0.2659124012686891,1.97,0.2944662261615929
Perm119,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C(=O)C2=CC=C(OC3=CC=C(C=C3)C3(C4C=CC=CC4C4C=CC=CC34)C3=CC=C(*)C=C3)C=C2)C2=C1C=CC=C2,1.0484807684,0.0078482038986902,10,0.5492166445179629,0.2514039836990575,1.42,0.15228834438305647
Perm120,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C(=O)C1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3C=CC=CC3C3C=CC=CC23)C2=CC=C(*)C=C2)C=C1,1.0807266936000002,0.0073377285947075,10,0.549706408207063,0.2276928943099434,0.53,-0.27572413039921095
Perm121,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1877543728,0.0072129604845286,10,0.5174043854191591,0.2010858823262463,0.64,-0.1938200260161128
Perm122,Polyarylates,*OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,1.0639560391,0.0085911233475159,10,0.5308636870868345,0.2657396864405906,3.92,0.5932860670204573
Perm123,Polysulfones,*OC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1110695521000002,0.0076131497482004,10,0.5321835736428425,0.2313191457569702,2.76,0.4409090820652177
Perm124,Polysulfones,*OC1=CC=C(C=C1)C1(C2CC3CC(C2)CC1C3)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.0943862111,0.0067592097284386,10,0.5344977172922578,0.239568988830205,1.86,0.26951294421791633
Perm125,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C1(NC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.1462884576,0.0076086768204609,10,0.5343048898022175,0.2037922135746215,0.663,-0.17848647159522685
